Điểm đến,Tỉnh/Thành phố,Loại thông tin,Nội dung chi tiết
Quy Nhơn,Bình Định,Ẩm thực,"Đặc sản: Banh Xeo Tom Nhay (bánh xèo tôm tươi), hải sản. Quán địa phương (biển, 100k-200k). Giá rẻ, hợp biển. An toàn."
Quy Nhơn,Bình Định,Hoạt động và trải nghiệm,"Snorkeling Kỳ Co, leo Eo Gió, thăm Ghềnh Ráng, bảo tàng Quang Trung. Trải nghiệm độc đáo: Trượt cát đồi Phương Mai. Tour ngắn: Kỳ Co 1 ngày (500k), hoạt động trẻ em: Bãi biển, trượt cát."
Quy Nhơn,Bình Định,Thông tin và kết nối,"Wifi tốt. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Bình Định 0256 3822 111."
Quy Nhơn,Bình Định,Yếu tố cá nhân,"Ai đi cùng: Cặp đôi (biển lãng mạn), gia đình (trượt cát vui). Mục đích: Nghỉ dưỡng hoang sơ, khám phá. Cảm xúc: Yên bình, thư giãn."
Quy Nhơn,Bình Định,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 3–9 (25–30°C). Nhiệt độ TB: 25–30°C, mưa 10–12. Trang phục: Đồ bơi, kem chống nắng. Ảnh hưởng: Biển ok khô; kiểm tra dự báo."

Phú Yên,Phú Yên,Điểm đến,"Gành Đá Đĩa (đá bazan hình lục giác), vịnh Vũng Rô (biển xanh), đầm Ô Loan (đầm phá hải sản), mũi Đại Lãnh (mũi Đông, hải đăng), check-in: Bãi Xép (bãi biển hoang sơ), hải đăng Đại Lãnh (view biển), O Loan Lagoon (kayak), Bai Mon Beach (bãi biển sạch)."
Phú Yên,Phú Yên,Thời điểm đẹp nhất,"Tháng 3–8: Khô, 25–30°C. Tránh 9–12 (mưa)."
Phú Yên,Phú Yên,Mức độ an toàn,"An ninh tốt. Biển an toàn. Cẩn thận mưa lũ. Cấp cứu: 115 hoặc BV Phú Yên."
Phú Yên,Phú Yên,Tổng chi phí (3N2Đ/1 người),"Xe: 500k; KS: 600k; Ăn: 400k; Tour Gành Đá Đĩa: 200k; Tổng ≈ 2-3 triệu."
Phú Yên,Phú Yên,Gói tour tiết kiệm,"Tour 3N2Đ (ks + Gành Đá Đĩa + Vũng Rô): 2-3 triệu."
Phú Yên,Phú Yên,Nơi ở (đề xuất 5),"1. Rosa Alba Tuy Hòa – 8.5/10, biển, 800k-1 triệu. 2. Cendeluxe Hotel – 8.2/10, trung tâm, 600k-800k. 3. Sao Việt Hotel – 8.0/10, giá rẻ, 400k-500k. 4. Homestay Phú Yên – 7.8/10, 300k-400k. 5. Stelia Beach Resort – 9.0/10, cao cấp, 1.5 triệu."
Phú Yên,Phú Yên,Di chuyển đến nơi,"Máy bay (Tuy Hòa, 1-2 triệu). Xe khách: 500k (10h từ TPHCM)."
Phú Yên,Phú Yên,Giao thông nội bộ,"Xe máy: 150k-200k. Grab hạn chế, dùng taxi địa phương."
Phú Yên,Phú Yên,Ẩm thực,"Đặc sản: Mắt cá ngừ đại dương, sò huyết Ô Loan. Quán địa phương (đầm, 100k-200k). Giá rẻ. An toàn."
Phú Yên,Phú Yên,Hoạt động và trải nghiệm,"Ngắm Gành Đá Đĩa, kayak đầm Ô Loan, thăm mũi Đại Lãnh. Trải nghiệm độc đáo: Hải đăng đêm. Tour ngắn: Gành Đá 1 ngày (200k), hoạt động trẻ em: Bãi biển."
Phú Yên,Phú Yên,Thông tin và kết nối,"Wifi trung bình. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Phú Yên 0257 3822 111."
Phú Yên,Phú Yên,Yếu tố cá nhân,"Ai đi cùng: Bạn bè (khám phá hoang sơ). Mục đích: Thiên nhiên, biển. Cảm xúc: Bình yên."
Phú Yên,Phú Yên,Thời tiết và trang phục,"25–30°C. Mang: Đồ bơi, kem chống nắng, giày thoải mái."

Phan Thiết,Bình Thuận,Điểm đến,"Biển Mũi Né (resort), đồi cát trắng/đỏ (trượt cát), suối Tiên (suối đỏ kỳ lạ), tháp Poshanư (tháp Chăm), mũi Đại Lãnh (biển), check-in: Bãi đá Ông Địa (đá hình lạ), RD Wine Castle (lâu đài rượu), fishing village (làng chài)."
Phan Thiết,Bình Thuận,Thời điểm đẹp nhất,"Tháng 11–4: Khô, 25–30°C. Tránh 5–10 (mưa)."
Phan Thiết,Bình Thuận,Mức độ an toàn,"An ninh tốt. Cẩn thận cát lún đồi. Biển an toàn. Cấp cứu: 115 hoặc BV Phan Thiết."
Phan Thiết,Bình Thuận,Tổng chi phí (3N2Đ/1 người),"Xe: 400k; KS: 800k; Ăn: 500k; Tour đồi cát: 200k; Tổng ≈ 2-3 triệu."
Phan Thiết,Bình Thuận,Gói tour tiết kiệm,"Combo 3N2Đ (ks + Mũi Né + đồi cát jeep): 2-3 triệu."
Phan Thiết,Bình Thuận,Nơi ở (đề xuất 5),"1. Sailing Club Resort – 8.5/10, biển, 1-1.5 triệu. 2. Anantara Mui Ne – 9.0/10, luxury, 1.5-2 triệu. 3. Bamboo Village – 8.2/10, sinh thái, 600k-800k. 4. Homestay Mũi Né – 7.8/10, 300k-400k. 5. Victoria Phan Thiet – 8.7/10, resort, 1-1.2 triệu."
Phan Thiết,Bình Thuận,Di chuyển đến nơi,"Xe khách (5h từ TPHCM, 200k-300k). Máy bay → TSN + xe."
Phan Thiết,Bình Thuận,Giao thông nội bộ,"Xe máy: 150k-200k. Tour jeep đồi cát: 200k-300k."
Phan Thiết,Bình Thuận,Ẩm thực,"Đặc sản: Hải sản, Lẩu thả (lẩu rau củ hải sản). Quán địa phương (Mũi Né, 100k-200k). Giá rẻ. An toàn."
Phan Thiết,Bình Thuận,Hoạt động và trải nghiệm,"Trượt cát đồi đỏ, lướt ván diều Mũi Né, thăm tháp Poshanư. Trải nghiệm độc đáo: Quad bike đồi cát. Tour ngắn: Đồi cát 1 ngày (200k), hoạt động trẻ em: Trượt cát."
Phan Thiết,Bình Thuận,Thông tin và kết nối,"Wifi tốt. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Bình Thuận 0252 3822 111."
Phan Thiết,Bình Thuận,Yếu tố cá nhân,"Ai đi cùng: Gia đình (trượt cát vui). Mục đích: Biển mạo hiểm. Cảm xúc: Vui vẻ, hoang dã."
Phan Thiết,Bình Thuận,Thời tiết và trang phục,"25–30°C. Mang: Đồ bơi, kem chống nắng, giày thể thao."

Ninh Thuận,Ninh Thuận,Điểm đến,"Vịnh Vĩnh Hy (biển xanh, lặn), hang Rái (đá chồng kỳ lạ), vườn nho (hái nho), tháp Chăm Poklong Garai (kiến trúc cổ), mũi Đại Lãnh (mũi Đông), check-in: Bãi biển Ninh Chữ (dài sạch), đồi cát Nam Cương (trượt cát), Vinh Hy Bay (kayak), Bau Truc pottery village (làng gốm Chăm)."
Ninh Thuận,Ninh Thuận,Thời điểm đẹp nhất,"Tháng 3–9: Khô, 25–30°C. Tránh 10–12 (mưa)."
Ninh Thuận,Ninh Thuận,Mức độ an toàn,"An ninh tốt. Cẩn thận nắng nóng sa mạc-like. Biển an toàn. Cấp cứu: 115 hoặc BV Ninh Thuận."
Ninh Thuận,Ninh Thuận,Tổng chi phí (3N2Đ/1 người),"Xe: 500k; KS: 600k; Ăn: 400k; Tour vịnh: 500k; Tổng ≈ 2-3 triệu."
Ninh Thuận,Ninh Thuận,Gói tour tiết kiệm,"Tour 3N2Đ (ks + Vĩnh Hy + nho): 2-3 triệu."
Ninh Thuận,Ninh Thuận,Nơi ở (đề xuất 5),"1. TTC Resort Ninh Thuan – 8.5/10, biển, 600k-800k. 2. Amanoi Resort – 9.0/10, luxury, 4-5 triệu. 3. Hoan My Resort – 8.2/10, 500k-600k. 4. Con Ga Vang Hotel – 8.0/10, 400k-500k. 5. Homestay Ninh Thuan – 7.8/10, 300k-400k."
Ninh Thuận,Ninh Thuận,Di chuyển đến nơi,"Xe khách (6h từ TPHCM, 300k-400k). Máy bay → Cam Ranh + xe (1h, 100k)."
Ninh Thuận,Ninh Thuận,Giao thông nội bộ,"Xe máy: 150k-200k. Tour xe đưa đón: 100k-200k."
Ninh Thuận,Ninh Thuận,Ẩm thực,"Đặc sản: Thịt cừu nướng, nho tươi. Quán địa phương (vườn nho, 100k-200k). Giá rẻ. An toàn."
Ninh Thuận,Ninh Thuận,Hoạt động và trải nghiệm,"Lặn Vĩnh Hy, hái nho vườn, thăm tháp Poklong Garai. Trải nghiệm độc đáo: Làm gốm Chăm. Tour ngắn: Vịnh 1 ngày (500k), hoạt động trẻ em: Đồi cát."
Ninh Thuận,Ninh Thuận,Thông tin và kết nối,"Wifi trung bình. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Ninh Thuận 0259 3822 111."
Ninh Thuận,Ninh Thuận,Yếu tố cá nhân,"Ai đi cùng: Bạn bè (lặn mạo hiểm). Mục đích: Văn hóa Chăm, thiên nhiên. Cảm xúc: Hoang sơ, thư giãn."
Ninh Thuận,Ninh Thuận,Thời tiết và trang phục,"25–30°C. Mang: Kem chống nắng, mũ, giày thoải mái."
